id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
3787000140,20140901T000000,450000,3,2.25,1780,9969,1,0,0,3,8,1450,330,1985,0,98034,47.7286,-122.168,1950,7974
1934800078,20140930T000000,430000,2,2.25,1040,1516,2,0,0,3,8,1040,0,2008,0,98122,47.6037,-122.307,1560,1920
7331900290,20140731T000000,230000,4,1.5,1520,8800,1,0,0,4,7,1520,0,1960,0,98002,47.3136,-122.208,1370,8800
3438500798,20140715T000000,275000,3,1.5,1060,6954,1,0,0,4,6,1060,0,1983,0,98106,47.5498,-122.355,1560,6954
2697400020,20141031T000000,400000,3,2,1350,7216,1,0,0,3,7,1350,0,1964,0,98177,47.7616,-122.365,1920,7600
3869900146,20141030T000000,306500,2,1,840,892,2,0,0,3,7,840,0,2006,0,98136,47.5396,-122.387,1030,1007
1257201130,20141001T000000,1015000,4,2.5,2700,4590,2,0,0,3,8,2700,0,2002,0,98103,47.6734,-122.329,2080,3570
1277000240,20150402T000000,735000,3,2.5,2540,6762,2,0,0,3,10,2540,0,1998,0,98007,47.6239,-122.144,2870,6631
982850060,20140603T000000,400000,3,2.25,1450,4706,2,0,0,3,7,1450,0,2009,0,98028,47.761,-122.232,1490,4667
3663000070,20140708T000000,600000,3,2.25,1900,46609,1.5,0,0,4,7,1440,460,1969,0,98072,47.7529,-122.116,2460,43560
798000145,20140924T000000,244500,2,1.75,1300,14500,1,0,0,3,6,650,650,1939,0,98168,47.4989,-122.329,1370,12986
3508100161,20150327T000000,500000,4,3,2570,9104,2,0,2,3,7,2570,0,1930,0,98116,47.5821,-122.401,1630,4950
2489200165,20140807T000000,435000,3,1,1050,5500,1,0,0,3,6,930,120,1920,0,98126,47.5402,-122.38,1410,5834
8929000030,20140821T000000,419990,3,2.5,1690,1689,2,0,0,3,8,1150,540,2014,0,98029,47.5528,-121.999,1540,1689
1022049182,20150428T000000,175000,1,1,620,8685,1,0,0,4,5,620,0,1976,0,98198,47.4095,-122.29,1300,12150
8682320160,20150220T000000,439950,2,2,1440,4666,1,0,0,3,8,1440,0,2010,0,98053,47.709,-122.019,1510,4595
565300110,20141216T000000,432500,3,2.5,2390,6435,1,0,0,3,8,1600,790,1978,0,98034,47.726,-122.194,2020,7300
2473000720,20140717T000000,380000,4,2.25,1860,7980,1,0,0,4,8,1860,0,1966,0,98058,47.4524,-122.15,1860,8814
4073800140,20140811T000000,429000,3,3.25,2210,3600,2,0,0,3,8,1820,390,1995,0,98125,47.7031,-122.279,2010,6690
1962200475,20140725T000000,875000,3,2,2350,6000,1.5,0,0,4,8,1990,360,1922,0,98102,47.6476,-122.32,2010,5040
2231500030,20141001T000000,315000,4,2.25,2180,10754,1,0,0,5,7,1100,1080,1954,0,98133,47.7711,-122.341,1810,6929
3797000830,20140530T000000,425000,3,1.75,1680,3000,1,0,2,4,6,840,840,1900,0,98103,47.686,-122.346,1540,3700
7663700654,20141214T000000,450000,4,1.5,1860,7808,1,0,0,3,7,1080,780,1953,0,98125,47.7314,-122.3,1530,7884
7708250040,20150212T000000,363000,3,2.5,2390,8000,2,0,0,3,8,2390,0,1995,0,98042,47.3895,-122.154,2070,7585
7853270710,20150409T000000,690000,5,3.25,3340,9075,2,0,0,3,8,2600,740,2005,0,98065,47.5446,-121.88,2770,6646
2781250900,20140620T000000,218000,2,2,1310,2841,2,0,0,3,6,1310,0,2004,0,98038,47.3502,-122.022,1360,2550
2581900036,20140612T000000,743000,3,1.75,2110,11250,1,0,0,4,8,2110,0,1961,0,98040,47.5402,-122.216,2560,10992
2767603890,20150304T000000,705000,5,3,2380,5000,2,0,0,5,7,2380,0,1909,0,98107,47.6722,-122.389,1800,4650
8019200030,20140926T000000,300000,3,1.5,1500,14750,1.5,0,0,4,6,1500,0,1933,0,98168,47.495,-122.318,1270,15100
2624079028,20141027T000000,997950,4,3.5,4270,117176,2,0,0,3,9,4270,0,2008,0,98024,47.5352,-121.883,2610,5251
824059265,20141001T000000,1155000,3,1.75,1640,10464,1,0,2,4,8,1640,0,1968,0,98004,47.5873,-122.205,2630,18872
7634800070,20150116T000000,453000,3,2.5,1820,16300,1,0,0,4,7,1220,600,1955,0,98166,47.4582,-122.365,1870,16300
6450301310,20141030T000000,225000,2,1,830,5720,1,0,0,4,6,830,0,1950,0,98133,47.7339,-122.339,1150,5250
3886902590,20150226T000000,470000,5,2,1900,6000,1.5,0,0,4,6,1900,0,1920,0,98033,47.6831,-122.186,2110,8400
1624049170,20141017T000000,446800,4,2,2410,8712,1,0,0,3,7,1260,1150,1958,0,98144,47.5729,-122.302,2220,6038
2864600105,20140624T000000,819000,3,3.5,2130,6150,2,0,2,5,8,1530,600,1908,0,98199,47.6491,-122.405,2040,5381
